Outcome,Diff,Home,MP,FGA,FG%,3PA,3P%,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,6,0,28:10:00,17,0.647,5,0.4,11,0.545,0,13,13,11,1,1,3,6,30,28.4,8
0,-5,1,36:38:00,21,0.571,5,0,9,0.556,3,14,17,9,3,2,8,6,29,24.1,0
1,17,1,29:12:00,15,0.333,2,0,8,0.5,1,9,10,7,0,2,2,2,14,10.8,10
0,-11,0,34:38:00,13,0.615,2,0,10,0.6,1,13,14,5,1,2,3,4,22,20.4,-4
1,32,0,30:16:00,16,0.625,4,0.25,11,0.727,2,12,14,6,2,0,7,4,29,23.2,19
1,10,1,36:26:00,20,0.7,2,0.5,10,0.7,2,13,15,8,1,4,3,3,36,36.9,9
1,28,0,26:42:00,19,0.737,3,0,11,0.545,4,11,15,6,0,0,3,4,34,30,28
1,5,0,35:43:00,21,0.476,7,0.571,18,0.778,4,12,16,9,2,2,3,4,38,37.2,13
0,-3,0,36:26:00,22,0.455,6,0.333,13,0.615,4,9,13,4,2,2,5,6,30,20.9,-6
1,2,0,36:25:00,19,0.684,3,0.667,9,0.778,2,14,16,3,1,1,7,3,35,27.3,15
1,9,1,35:50:00,24,0.542,5,0.2,20,0.55,5,11,16,4,3,1,5,4,38,29.5,-4
1,19,0,28:24:00,17,0.588,6,0.5,5,0.6,3,10,13,6,1,1,5,1,26,22.9,19
1,14,0,33:44:00,22,0.591,6,0.333,12,0.417,2,8,10,2,3,1,8,5,33,18.9,12
1,8,0,30:08:00,17,0.706,6,0.167,13,0.615,0,11,11,4,0,1,4,2,33,25.9,17
1,8,1,35:49:00,27,0.333,7,0.143,10,0.5,4,15,19,15,3,1,5,2,24,22.4,5
1,14,1,27:12:00,22,0.545,3,0.333,9,0.333,3,7,10,3,2,1,2,3,28,20.8,18
1,4,1,38:30:00,31,0.548,8,0.375,19,0.684,6,8,14,6,2,0,0,1,50,45.1,14
1,9,1,35:12:00,23,0.522,5,0.2,13,0.385,2,8,10,4,0,4,4,5,30,18.9,0
1,9,0,32:03:00,26,0.538,8,0.25,4,0.75,3,9,12,2,2,2,3,0,33,26.6,10
1,41,1,19:37,19,0.579,5,0.2,7,0.429,3,6,9,4,1,0,1,1,26,21.8,23
1,44,1,21:58,14,0.714,4,0.75,11,0.545,1,14,15,3,0,0,2,3,29,25,25
1,24,0,27:55:00,21,0.571,8,0.5,9,0.778,3,6,9,0,0,2,2,2,35,26.8,17
1,28,1,26:21:00,20,0.55,4,0.25,6,0.667,3,8,11,4,0,0,4,3,27,18.7,7
1,9,1,34:43:00,22,0.545,5,0.4,12,0.5,4,11,15,8,1,1,2,3,32,29.2,8
1,13,0,26:46:00,23,0.522,7,0.429,13,0.769,2,9,11,2,1,0,4,4,37,25.4,26
1,17,1,23:59,20,0.6,5,0.4,7,0.429,1,3,4,4,1,1,1,1,29,22.9,5
0,-4,1,34:23:00,31,0.581,6,0.167,16,0.688,4,10,14,4,1,1,3,3,48,37.6,-1
1,7,1,32:19:00,19,0.579,8,0.625,10,0.7,3,8,11,7,1,1,4,5,34,29,7
1,21,0,26:02:00,10,0.8,4,0.5,8,0.5,0,11,11,10,2,0,3,1,22,25.5,29
1,28,1,30:55:00,17,0.471,3,0.333,2,0.5,5,14,19,9,2,2,4,2,18,21.5,29
0,-12,0,30:19:00,27,0.296,7,0,4,0.5,2,12,14,7,1,1,3,3,18,8.9,-18
1,21,0,27:22:00,14,0.571,3,0.333,6,1,1,9,10,6,0,0,2,3,23,20.8,11
1,2,1,31:29:00,22,0.591,7,0.429,8,0.375,3,14,17,4,0,2,4,5,32,24.3,4
1,9,1,28:57:00,12,0.583,7,0.429,18,0.833,0,8,8,1,1,0,0,3,32,28.1,6
0,-22,0,33:50:00,22,0.455,5,0,4,1,2,10,12,8,3,1,2,2,24,23.5,-2
1,9,0,32:05:00,21,0.476,7,0.143,13,0.692,0,13,13,4,1,0,3,3,30,21.2,5
1,21,0,28:18:00,9,0.444,2,0.5,8,0.5,1,9,10,5,1,0,3,4,13,10,-8
1,21,0,28:30:00,23,0.565,4,0.5,7,0.571,1,16,17,6,0,0,3,4,32,25,20
1,26,1,21:26,17,0.706,5,0.6,12,0.833,3,6,9,4,0,1,1,1,37,35.1,32
1,5,1,34:54:00,22,0.5,5,0,20,0.5,1,16,17,7,0,2,4,4,32,23.2,-7
1,20,0,25:24:00,20,0.6,5,0.4,7,0.429,1,11,12,4,1,0,8,4,29,16.4,7
1,13,1,31:00:00,20,0.6,5,0.2,9,0.333,1,13,14,10,1,1,8,3,28,20.5,23
1,13,0,32:13:00,19,0.684,1,0,7,0.571,4,12,16,6,0,1,3,4,30,27.4,16
0,-12,1,31:54:00,27,0.407,5,0.2,12,0.667,5,11,16,9,1,2,2,1,31,28,-7
1,21,1,30:34:00,21,0.476,5,0.2,16,0.563,6,13,19,9,1,1,7,3,30,24.4,3
1,12,0,33:01:00,17,0.706,1,1,13,0.692,0,17,17,6,1,1,5,4,34,29.7,24
1,11,1,34:56:00,25,0.52,7,0.143,12,0.75,3,17,20,6,1,0,3,3,36,30.7,18
1,16,0,33:34:00,17,0.353,0,,8,0.75,4,14,18,9,0,2,5,2,18,16.6,7
1,20,0,31:47:00,23,0.565,3,0,11,0.636,2,14,16,4,3,1,2,4,33,29,39
1,21,1,29:07:00,17,0.706,5,0.4,8,0.625,0,17,17,8,0,1,4,2,31,29.3,25
1,3,0,24:51:00,12,0.667,0,,8,0.75,2,12,14,2,0,1,8,6,22,12.7,14
1,11,0,38:00:00,14,0.357,4,0.5,8,0.875,0,19,19,8,0,3,4,1,19,19.8,13
1,47,1,27:17:00,20,0.65,4,0.5,5,0.8,2,11,13,6,0,0,3,2,32,27.9,44
1,8,0,34:55:00,28,0.607,4,0.25,7,0.857,2,18,20,6,1,0,3,2,41,36,22
0,-16,0,30:45:00,18,0.333,4,0,2,0.5,0,15,15,3,1,1,3,0,13,7.7,-16
1,19,1,28:15:00,23,0.435,8,0.25,7,1,3,9,12,6,1,0,4,2,29,22.1,26
0,-10,0,35:31:00,21,0.476,6,0.167,14,0.786,1,10,11,6,1,0,2,5,32,25,-11
1,7,1,32:07:00,20,0.7,3,0.333,12,0.583,1,14,15,7,1,1,2,5,36,33.1,18
0,-4,0,32:36:00,25,0.56,5,0.4,9,0.667,4,14,18,8,0,1,3,3,36,32,1
0,-3,1,15:47,8,0.875,3,0.667,3,0,0,6,6,4,0,0,3,1,16,13.2,4
1,14,1,30:06:00,17,0.765,4,0,9,0.778,1,11,12,4,0,1,6,5,33,25,15
0,-4,0,33:26:00,26,0.5,7,0.143,14,0.5,2,11,13,1,0,5,4,6,34,20.7,-16
1,13,0,10:09,3,0.333,0,,12,0.833,2,7,9,1,1,0,3,2,12,10.9,12
